,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,pjmedia,propublica,rawstory,redstate,reuters,rt,shadowproof,slate,spectator,time,townhall,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0
alternet,0.0,,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0,19.0,19.078784028338912,19.0
americanconservative,6.4031242374328485,18.027756377319946,,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0,19.0,19.078784028338912,19.0,15.811388300841896,30.0
antiwar,0.0,5.0,18.138357147217054,,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0,19.0,19.078784028338912,19.0,15.811388300841896,30.0,1.4142135623730951
ap,6.4031242374328485,34.132096331752024,18.547236990991408,19.0,,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0,19.0,19.078784028338912,19.0,15.811388300841896,30.0,1.4142135623730951
atlantic,18.027756377319946,18.138357147217054,19.0,8.0,8.0,,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0,19.0,19.078784028338912,19.0,15.811388300841896,30.0
bbc,5.0,18.547236990991408,8.0,18.138357147217054,18.138357147217054,8.0,,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0,19.0,19.078784028338912,19.0
breitbart,34.132096331752024,19.0,18.138357147217054,23.93741840717165,23.93741840717165,18.138357147217054,19.0,,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0,21.633307652783937,18.681541692269406,19.209372712298546,19.0
businessinsider,18.138357147217054,8.0,23.93741840717165,10.0,10.0,23.93741840717165,8.0,18.138357147217054,,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0,4.0,19.0,19.697715603592208,16.24807680927192,14.0
buzzfeed,18.547236990991408,18.138357147217054,10.0,20.024984394500787,20.024984394500787,10.0,18.138357147217054,18.547236990991408,18.027756377319946,,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0,16.15549442140351,16.24807680927192,13.30413469565007,20.97617696340303,19.0,5.0
canary,19.0,23.93741840717165,20.024984394500787,19.0,19.0,20.024984394500787,23.93741840717165,19.0,5.0,0.0,,2.8284271247461903,4.123105625617661,2.8284271247461903,0.0,6.4031242374328485,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0,10.0,16.24807680927192,17.233687939614086,18.439088914585774,19.0,16.0,19.0
cbs,8.0,10.0,19.0,14.0,14.0,19.0,10.0,8.0,34.132096331752024,6.4031242374328485,2.8284271247461903,,7.3484692283495345,5.0990195135927845,5.0990195135927845,9.219544457292887,5.0990195135927845,2.8284271247461903,2.8284271247461903,4.123105625617661,2.8284271247461903,0.0,6.4031242374328485,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946,19.697715603592208,12.0,20.199009876724155,19.0,19.209372712298546,9.433981132056603,14.0,14.0
cnn,18.138357147217054,20.024984394500787,14.0,9.433981132056603,9.433981132056603,14.0,20.024984394500787,18.138357147217054,18.138357147217054,0.0,4.123105625617661,7.3484692283495345,,5.0,4.123105625617661,10.04987562112089,8.306623862918075,8.306623862918075,10.954451150103322,8.306623862918075,7.3484692283495345,5.0990195135927845,5.0990195135927845,9.219544457292887,5.0990195135927845,2.8284271247461903,2.8284271247461903,4.123105625617661,2.8284271247461903,0.0,6.4031242374328485,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0,9.433981132056603,24.351591323771842,14.0,19.0,9.433981132056603,19.0,19.209372712298546,1.0,18.027756377319946
commondreams,23.93741840717165,19.0,9.433981132056603,24.351591323771842,24.351591323771842,9.433981132056603,19.0,23.93741840717165,18.547236990991408,6.4031242374328485,2.8284271247461903,5.0990195135927845,5.0,,4.47213595499958,4.123105625617661,10.198039027185569,6.4031242374328485,5.744562646538029,5.0,5.0,7.483314773547883,5.0,4.123105625617661,10.04987562112089,8.306623862918075,8.306623862918075,10.954451150103322,8.306623862918075,7.3484692283495345,5.0990195135927845,5.0990195135927845,9.219544457292887,5.0990195135927845,2.8284271247461903,2.8284271247461903,4.123105625617661,2.8284271247461903,0.0,6.4031242374328485,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024,18.138357147217054,18.547236990991408,19.0,8.0,18.138357147217054,23.93741840717165,10.0,20.024984394500787,19.0,14.0
consortium,10.0,14.0,24.351591323771842,14.0,14.0,24.351591323771842,14.0,10.0,19.0,18.027756377319946,0.0,5.0990195135927845,4.123105625617661,4.47213595499958,,8.06225774829855,11.661903789690601,8.06225774829855,3.4641016151377544,10.770329614269007,7.54983443527075,3.0,4.123105625617661,4.123105625617661,4.47213595499958,4.123105625617661,10.198039027185569,6.4031242374328485,5.744562646538029,5.0,5.0,7.483314773547883,5.0,4.123105625617661,10.04987562112089,8.306623862918075,8.306623862918075,10.954451150103322,8.306623862918075,7.3484692283495345,5.0990195135927845,5.0990195135927845,9.219544457292887,5.0990195135927845,2.8284271247461903,2.8284271247461903,4.123105625617661,2.8284271247461903,0.0,6.4031242374328485,0.0,6.4031242374328485,0.0,6.4031242374328485,18.027756377319946,5.0,34.132096331752024
conversation,20.024984394500787,9.433981132056603,14.0,19.0,19.0,14.0,9.433981132056603,20.024984394500787,8.0,5.0,6.4031242374328485,9.219544457292887,10.04987562112089,4.123105625617661,8.06225774829855,,0.0,0.0,6.4031242374328485,0.0,10.392304845413264,8.94427190999916,2.8284271247461903,3.0,10.246950765959598,8.06225774829855,8.06225774829855,11.661903789690601,8.06225774829855,3.4641016151377544,10.770329614269007,7.54983443527075,3.0,4.123105625617661,4.123105625617661,4.47213595499958,4.123105625617661,10.198039027185569,6.4031242374328485,5.744562646538029,5.0,5.0,7.483314773547883,5.0,4.123105625617661,10.04987562112089,8.306623862918075,8.306623862918075,10.954451150103322,8.306623862918075,7.3484692283495345,5.0990195135927845,5.0990195135927845,9.219544457292887,5.0990195135927845,2.8284271247461903,2.8284271247461903
counterpunch,19.0,24.351591323771842,19.0,9.433981132056603,9.433981132056603,19.0,24.351591323771842,19.0,18.138357147217054,34.132096331752024,0.0,5.0990195135927845,8.306623862918075,10.198039027185569,11.661903789690601,0.0,,23.173260452512935,23.0,23.0,22.891046284519195,23.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,10.392304845413264,8.94427190999916,2.8284271247461903,3.0,10.246950765959598,8.06225774829855,8.06225774829855,11.661903789690601,8.06225774829855,3.4641016151377544,10.770329614269007,7.54983443527075,3.0,4.123105625617661,4.123105625617661,4.47213595499958,4.123105625617661,10.198039027185569,6.4031242374328485,5.744562646538029,5.0,5.0,7.483314773547883,5.0,4.123105625617661
dailycaller,14.0,14.0,9.433981132056603,19.0,19.0,9.433981132056603,14.0,14.0,23.93741840717165,18.138357147217054,6.4031242374328485,2.8284271247461903,8.306623862918075,6.4031242374328485,8.06225774829855,0.0,23.173260452512935,,13.92838827718412,14.2828568570857,14.0,14.0,14.45683229480096,14.0,23.0,23.40939982143925,20.199009876724155,18.0,25.37715508089904,22.561028345356956,23.173260452512935,23.0,23.0,22.891046284519195,23.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,10.392304845413264,8.94427190999916,2.8284271247461903,3.0,10.246950765959598,8.06225774829855,8.06225774829855,11.661903789690601,8.06225774829855,3.4641016151377544,10.770329614269007,7.54983443527075
dailykos,9.433981132056603,19.0,19.0,19.209372712298546,19.209372712298546,19.0,19.0,9.433981132056603,10.0,18.547236990991408,0.0,2.8284271247461903,10.954451150103322,5.744562646538029,3.4641016151377544,6.4031242374328485,23.0,13.92838827718412,,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,9.0,14.0,15.264337522473747,11.357816691600547,9.0,17.11724276862369,13.92838827718412,14.2828568570857,14.0,14.0,14.45683229480096,14.0,23.0,23.40939982143925,20.199009876724155,18.0,25.37715508089904,22.561028345356956,23.173260452512935,23.0,23.0,22.891046284519195,23.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0
dailymail,24.351591323771842,9.433981132056603,19.209372712298546,1.0,1.0,19.209372712298546,9.433981132056603,24.351591323771842,20.024984394500787,19.0,6.4031242374328485,4.123105625617661,8.306623862918075,5.0,10.770329614269007,0.0,23.0,14.2828568570857,8.306623862918075,,8.717797887081348,2.0,3.0,8.06225774829855,6.4031242374328485,6.4031242374328485,9.16515138991168,6.4031242374328485,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,9.0,14.0,15.264337522473747,11.357816691600547,9.0,17.11724276862369,13.92838827718412,14.2828568570857,14.0,14.0,14.45683229480096,14.0,23.0,23.40939982143925,20.199009876724155,18.0
dailywire,14.0,19.0,1.0,18.027756377319946,18.027756377319946,1.0,19.0,14.0,19.0,8.0,18.027756377319946,2.8284271247461903,7.3484692283495345,5.0,7.54983443527075,10.392304845413264,22.891046284519195,14.0,5.0990195135927845,8.717797887081348,,3.0,3.0,12.206555615733702,8.831760866327848,6.0,6.6332495807108,6.6332495807108,6.4031242374328485,6.6332495807108,6.4031242374328485,16.278820596099706,24.819347291981714,6.4031242374328485,3.4641016151377544,8.94427190999916,8.717797887081348,2.0,3.0,8.06225774829855,6.4031242374328485,6.4031242374328485,9.16515138991168,6.4031242374328485,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0
economist,19.0,19.209372712298546,18.027756377319946,19.697715603592208,19.697715603592208,18.027756377319946,19.209372712298546,19.0,14.0,18.138357147217054,5.0,0.0,5.0990195135927845,7.483314773547883,3.0,8.94427190999916,23.0,14.0,2.8284271247461903,2.0,3.0,,10.392304845413264,0.0,3.4641016151377544,10.770329614269007,7.54983443527075,3.0,4.123105625617661,4.123105625617661,4.47213595499958,4.123105625617661,10.63014581273465,6.6332495807108,8.48528137423857,17.233687939614086,6.6332495807108,11.357816691600547,3.0,3.0,12.206555615733702,8.831760866327848,6.0,6.6332495807108,6.6332495807108,6.4031242374328485,6.6332495807108,6.4031242374328485,16.278820596099706,24.819347291981714,6.4031242374328485,3.4641016151377544,8.94427190999916,8.717797887081348,2.0,3.0,8.06225774829855
fox,9.433981132056603,1.0,19.697715603592208,12.0,12.0,19.697715603592208,1.0,9.433981132056603,9.433981132056603,23.93741840717165,34.132096331752024,6.4031242374328485,5.0990195135927845,5.0,4.123105625617661,2.8284271247461903,8.06225774829855,14.45683229480096,0.0,3.0,3.0,10.392304845413264,,3.7416573867739413,9.433981132056603,1.0,3.0,9.848857801796104,6.6332495807108,3.1622776601683795,3.7416573867739413,3.7416573867739413,4.58257569495584,3.7416573867739413,3.0,8.94427190999916,4.123105625617661,11.357816691600547,20.199009876724155,4.123105625617661,10.392304845413264,0.0,3.4641016151377544,10.770329614269007,7.54983443527075,3.0,4.123105625617661,4.123105625617661,4.47213595499958,4.123105625617661,10.63014581273465,6.6332495807108,8.48528137423857,17.233687939614086,6.6332495807108,11.357816691600547,3.0
globalresearch,19.0,18.027756377319946,12.0,20.199009876724155,20.199009876724155,12.0,18.027756377319946,19.0,24.351591323771842,10.0,18.138357147217054,0.0,9.219544457292887,4.123105625617661,4.123105625617661,3.0,4.123105625617661,14.0,0.0,8.06225774829855,12.206555615733702,0.0,3.7416573867739413,,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,1.0,3.1622776601683795,8.06225774829855,3.7416573867739413,11.224972160321824,20.12461179749811,3.7416573867739413,9.433981132056603,1.0,3.0,9.848857801796104,6.6332495807108,3.1622776601683795,3.7416573867739413,3.7416573867739413,4.58257569495584,3.7416573867739413,3.0,8.94427190999916,4.123105625617661,11.357816691600547
guardian,19.209372712298546,19.697715603592208,20.199009876724155,19.0,19.0,20.199009876724155,19.697715603592208,19.209372712298546,14.0,20.024984394500787,18.547236990991408,6.4031242374328485,5.0990195135927845,10.04987562112089,4.47213595499958,10.246950765959598,5.0,23.0,6.4031242374328485,6.4031242374328485,8.831760866327848,3.4641016151377544,9.433981132056603,23.0,,11.0,20.0,3.0,8.246211251235321,2.8284271247461903,2.0,9.16515138991168,5.385164807134504,4.123105625617661,3.0,3.0,6.6332495807108,3.0,3.7416573867739413,4.123105625617661,6.6332495807108,6.4031242374328485,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,1.0
huffingtonpost,1.0,12.0,19.0,19.209372712298546,19.209372712298546,19.0,12.0,1.0,19.0,19.0,19.0,0.0,2.8284271247461903,8.306623862918075,4.123105625617661,8.06225774829855,8.306623862918075,23.40939982143925,0.0,6.4031242374328485,6.0,10.770329614269007,1.0,0.0,11.0,,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,3.0,2.23606797749979,2.8284271247461903,4.123105625617661,7.483314773547883,3.0,11.0,20.0,3.0,8.246211251235321,2.8284271247461903,2.0,9.16515138991168,5.385164807134504,4.123105625617661,3.0,3.0
independent,18.027756377319946,20.199009876724155,19.209372712298546,9.433981132056603,9.433981132056603,19.209372712298546,20.199009876724155,18.027756377319946,9.433981132056603,14.0,8.0,6.4031242374328485,2.8284271247461903,8.306623862918075,10.198039027185569,8.06225774829855,5.0990195135927845,20.199009876724155,9.0,9.16515138991168,6.6332495807108,7.54983443527075,3.0,8.06225774829855,20.0,0.0,,3.4641016151377544,4.123105625617661,13.601470508735444,22.360679774997898,4.123105625617661,4.0,6.6332495807108,5.656854249492381,4.898979485566356,1.0,6.4031242374328485,4.123105625617661,4.123105625617661,8.48528137423857,4.123105625617661,3.0,0.0,3.7416573867739413,4.123105625617661,6.6332495807108,6.4031242374328485,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845
infowars,19.697715603592208,19.0,9.433981132056603,14.0,14.0,9.433981132056603,19.0,19.697715603592208,19.0,9.433981132056603,18.138357147217054,18.027756377319946,4.123105625617661,10.954451150103322,6.4031242374328485,11.661903789690601,2.8284271247461903,18.0,14.0,6.4031242374328485,6.6332495807108,3.0,9.848857801796104,4.123105625617661,3.0,14.0,3.4641016151377544,,4.0,8.54400374531753,3.4641016151377544,12.328828005937952,21.18962010041709,3.4641016151377544,10.246950765959598,1.0,4.123105625617661,10.44030650891055,7.3484692283495345,2.0,3.4641016151377544,3.4641016151377544,4.123105625617661,3.4641016151377544,4.123105625617661,4.47213595499958,4.123105625617661,5.744562646538029,6.6332495807108,8.06225774829855,3.4641016151377544,4.123105625617661,13.601470508735444,22.360679774997898,4.123105625617661,4.0,6.6332495807108
