,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,grayzone,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,scientificamerican,shadowproof,slate,snopes,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
aljazeera,,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654
alternet,5.477225575051661,,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661
americanconservative,7.681145747868608,11.445523142259598,,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178
americanthinker,5.196152422706632,6.557438524302,3.1622776601683795,,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178,9.848857801796104
antiwar,5.656854249492381,10.44030650891055,8.602325267042627,6.928203230275509,,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178,9.848857801796104
ap,11.445523142259598,3.1622776601683795,6.928203230275509,7.211102550927978,7.211102550927978,,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178
atlantic,6.557438524302,8.602325267042627,7.211102550927978,8.602325267042627,8.602325267042627,7.211102550927978,,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661
bbc,10.44030650891055,6.928203230275509,8.602325267042627,5.0990195135927845,5.0990195135927845,8.602325267042627,6.928203230275509,,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654
breitbart,3.1622776601683795,7.211102550927978,5.0990195135927845,7.483314773547883,7.483314773547883,5.0990195135927845,7.211102550927978,3.1622776601683795,,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665
businessinsider,8.602325267042627,8.602325267042627,7.483314773547883,9.486832980505138,9.486832980505138,7.483314773547883,8.602325267042627,8.602325267042627,11.445523142259598,,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413
buzzfeed,6.928203230275509,5.0990195135927845,9.486832980505138,9.0,9.0,9.486832980505138,5.0990195135927845,6.928203230275509,6.557438524302,5.477225575051661,,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0
canary,7.211102550927978,7.483314773547883,9.0,8.602325267042627,8.602325267042627,9.0,7.483314773547883,7.211102550927978,10.44030650891055,7.681145747868608,9.433981132056603,,7.810249675906654,6.082762530298219,2.0,6.557438524302,3.3166247903554,9.273618495495704,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381
cbs,8.602325267042627,9.486832980505138,8.602325267042627,4.123105625617661,4.123105625617661,8.602325267042627,9.486832980505138,8.602325267042627,3.1622776601683795,5.196152422706632,6.164414002968976,7.810249675906654,,7.54983443527075,3.3166247903554,6.782329983125268,7.3484692283495345,5.196152422706632,7.211102550927978,2.0,7.810249675906654,6.082762530298219,2.0,6.557438524302,3.3166247903554,9.273618495495704,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811
cnbc,5.0990195135927845,9.0,4.123105625617661,5.744562646538029,5.744562646538029,4.123105625617661,9.0,5.0990195135927845,8.602325267042627,5.656854249492381,6.782329983125268,6.082762530298219,7.54983443527075,,1.0,6.4031242374328485,9.0,6.782329983125268,9.433981132056603,3.605551275463989,6.782329983125268,4.123105625617661,7.54983443527075,3.3166247903554,6.782329983125268,7.3484692283495345,5.196152422706632,7.211102550927978,2.0,7.810249675906654,6.082762530298219,2.0,6.557438524302,3.3166247903554,9.273618495495704,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855
cnn,7.483314773547883,8.602325267042627,5.744562646538029,9.219544457292887,9.219544457292887,5.744562646538029,8.602325267042627,7.483314773547883,6.928203230275509,11.445523142259598,6.708203932499369,2.0,3.3166247903554,1.0,,7.681145747868608,8.717797887081348,3.4641016151377544,4.0,8.06225774829855,7.3484692283495345,7.0,3.605551275463989,8.366600265340756,1.0,6.4031242374328485,9.0,6.782329983125268,9.433981132056603,3.605551275463989,6.782329983125268,4.123105625617661,7.54983443527075,3.3166247903554,6.782329983125268,7.3484692283495345,5.196152422706632,7.211102550927978,2.0,7.810249675906654,6.082762530298219,2.0,6.557438524302,3.3166247903554,9.273618495495704,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627
commondreams,9.486832980505138,4.123105625617661,9.219544457292887,4.242640687119285,4.242640687119285,9.219544457292887,4.123105625617661,9.486832980505138,7.211102550927978,6.557438524302,3.7416573867739413,6.557438524302,6.782329983125268,6.4031242374328485,7.681145747868608,,5.196152422706632,8.12403840463596,2.23606797749979,7.280109889280518,9.433981132056603,11.0,2.8284271247461903,5.916079783099616,8.12403840463596,8.602325267042627,7.681145747868608,8.717797887081348,3.4641016151377544,4.0,8.06225774829855,7.3484692283495345,7.0,3.605551275463989,8.366600265340756,1.0,6.4031242374328485,9.0,6.782329983125268,9.433981132056603,3.605551275463989,6.782329983125268,4.123105625617661,7.54983443527075,3.3166247903554,6.782329983125268,7.3484692283495345,5.196152422706632,7.211102550927978,2.0,7.810249675906654,6.082762530298219,2.0,6.557438524302,3.3166247903554,9.273618495495704,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138
consortium,9.0,5.744562646538029,4.242640687119285,9.273618495495704,9.273618495495704,4.242640687119285,5.744562646538029,9.0,8.602325267042627,10.44030650891055,5.477225575051661,3.3166247903554,7.3484692283495345,9.0,8.717797887081348,5.196152422706632,,8.831760866327848,3.7416573867739413,5.916079783099616,4.0,6.928203230275509,10.44030650891055,2.449489742783178,3.7416573867739413,8.54400374531753,7.3484692283495345,6.4031242374328485,5.196152422706632,8.12403840463596,2.23606797749979,7.280109889280518,9.433981132056603,11.0,2.8284271247461903,5.916079783099616,8.12403840463596,8.602325267042627,7.681145747868608,8.717797887081348,3.4641016151377544,4.0,8.06225774829855,7.3484692283495345,7.0,3.605551275463989,8.366600265340756,1.0,6.4031242374328485,9.0,6.782329983125268,9.433981132056603,3.605551275463989,6.782329983125268,4.123105625617661,7.54983443527075,3.3166247903554,6.782329983125268,7.3484692283495345,5.196152422706632,7.211102550927978,2.0,7.810249675906654,6.082762530298219,2.0,6.557438524302,3.3166247903554,9.273618495495704,9.433981132056603,6.164414002968976,6.782329983125268,6.708203932499369,3.7416573867739413,5.477225575051661,7.681145747868608,5.196152422706632
conversation,8.602325267042627,9.219544457292887,9.273618495495704,9.0,9.0,9.273618495495704,9.219544457292887,8.602325267042627,5.0990195135927845,3.1622776601683795,7.681145747868608,9.273618495495704,5.196152422706632,6.782329983125268,3.4641016151377544,8.12403840463596,8.831760866327848,,6.782329983125268,2.23606797749979,9.1104335791443,8.602325267042627,6.708203932499369,5.385164807134504,3.605551275463989,10.392304845413264,4.123105625617661,1.0,8.246211251235321,5.916079783099616,8.831760866327848,3.7416573867739413,5.916079783099616,4.0,6.928203230275509,10.44030650891055,2.449489742783178,3.7416573867739413,8.54400374531753,7.3484692283495345,6.4031242374328485,5.196152422706632,8.12403840463596,2.23606797749979,7.280109889280518,9.433981132056603,11.0,2.8284271247461903,5.916079783099616,8.12403840463596,8.602325267042627,7.681145747868608,8.717797887081348,3.4641016151377544,4.0,8.06225774829855,7.3484692283495345,7.0,3.605551275463989,8.366600265340756,1.0,6.4031242374328485,9.0,6.782329983125268,9.433981132056603,3.605551275463989,6.782329983125268,4.123105625617661,7.54983443527075,3.3166247903554,6.782329983125268,7.3484692283495345,5.196152422706632,7.211102550927978,2.0,7.810249675906654
