,aljazeera,alternet,americanconservative,americanthinker,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,opednews,pbs,pjmedia,psychologytoday,rawstory,redstate,reuters,reveal,rt,slate,snopes,spectator,strategicculture,time,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857
alternet,17.233687939614086,,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857,13.45362404707371,10.0,12.529964086141668
americanconservative,16.15549442140351,17.349351572897472,,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857,13.45362404707371,10.0,12.529964086141668,11.224972160321824,16.15549442140351
americanthinker,16.97056274847714,22.47220505424423,14.0,,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857,13.45362404707371,10.0,12.529964086141668,11.224972160321824,16.15549442140351,7.0
ap,21.840329667841555,12.409673645990857,5.0,28.844410203711913,,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857,13.45362404707371,10.0,12.529964086141668,11.224972160321824,16.15549442140351,7.0
atlantic,17.349351572897472,14.0,28.844410203711913,11.40175425099138,11.40175425099138,,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857,13.45362404707371,10.0,12.529964086141668,11.224972160321824,16.15549442140351
axios,22.47220505424423,5.0,11.40175425099138,10.862780491200215,10.862780491200215,11.40175425099138,,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857,13.45362404707371,10.0,12.529964086141668
bbc,12.409673645990857,28.844410203711913,10.862780491200215,20.223748416156685,20.223748416156685,10.862780491200215,28.844410203711913,,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752,6.782329983125268,24.020824298928627,21.863211109075447,12.409673645990857
breitbart,14.0,11.40175425099138,20.223748416156685,16.0312195418814,16.0312195418814,20.223748416156685,11.40175425099138,14.0,,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417,18.867962264113206,5.196152422706632,8.0,5.0,13.74772708486752
businessinsider,5.0,10.862780491200215,16.0312195418814,23.853720883753127,23.853720883753127,16.0312195418814,10.862780491200215,5.0,17.349351572897472,,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308,9.055385138137417,24.08318915758459,15.620499351813308,14.247806848775006,17.435595774162696,9.055385138137417
buzzfeed,28.844410203711913,20.223748416156685,23.853720883753127,5.830951894845301,5.830951894845301,23.853720883753127,20.223748416156685,28.844410203711913,22.47220505424423,17.233687939614086,,16.15549442140351,23.62202362203543,20.12461179749811,3.0,15.297058540778355,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0,17.349351572897472,10.0,11.40175425099138,12.409673645990857,14.035668847618199,14.560219778561036,15.620499351813308
canary,11.40175425099138,16.0312195418814,5.830951894845301,13.0,13.0,5.830951894845301,16.0312195418814,11.40175425099138,12.409673645990857,16.15549442140351,16.15549442140351,,21.0,20.12461179749811,18.973665961010276,31.89043743820395,14.696938456699069,18.973665961010276,16.15549442140351,23.62202362203543,20.12461179749811,3.0,15.297058540778355,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572,18.76166303929372,8.0,8.0,0.0,8.0,22.47220505424423,17.349351572897472,8.0
cbs,10.862780491200215,23.853720883753127,13.0,6.782329983125268,6.782329983125268,13.0,23.853720883753127,10.862780491200215,14.0,16.97056274847714,23.62202362203543,21.0,,14.422205101855956,21.0,18.0,6.0,6.708203932499369,11.224972160321824,13.74772708486752,21.0,20.12461179749811,18.973665961010276,31.89043743820395,14.696938456699069,18.973665961010276,16.15549442140351,23.62202362203543,20.12461179749811,3.0,15.297058540778355,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896,5.830951894845301,10.0,12.041594578792296,21.213203435596427,8.0,11.40175425099138,5.0,16.15549442140351,12.083045973594572
cnbc,20.223748416156685,5.830951894845301,6.782329983125268,13.45362404707371,13.45362404707371,6.782329983125268,5.830951894845301,20.223748416156685,5.0,21.840329667841555,20.12461179749811,20.12461179749811,14.422205101855956,,15.0,8.48528137423857,7.810249675906654,15.231546211727817,16.64331697709324,5.0,4.0,18.681541692269406,14.422205101855956,21.0,18.0,6.0,6.708203932499369,11.224972160321824,13.74772708486752,21.0,20.12461179749811,18.973665961010276,31.89043743820395,14.696938456699069,18.973665961010276,16.15549442140351,23.62202362203543,20.12461179749811,3.0,15.297058540778355,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301,13.0,6.782329983125268,13.45362404707371,8.0,12.529964086141668,8.0,12.041594578792296,12.529964086141668,12.884098726725126,15.811388300841896
cnn,16.0312195418814,13.0,13.45362404707371,8.0,8.0,13.45362404707371,13.0,16.0312195418814,28.844410203711913,17.349351572897472,3.0,18.973665961010276,21.0,15.0,,16.15549442140351,18.0,6.708203932499369,13.564659966250536,9.0,20.784609690826528,22.64950330581225,13.74772708486752,14.696938456699069,15.0,8.48528137423857,7.810249675906654,15.231546211727817,16.64331697709324,5.0,4.0,18.681541692269406,14.422205101855956,21.0,18.0,6.0,6.708203932499369,11.224972160321824,13.74772708486752,21.0,20.12461179749811,18.973665961010276,31.89043743820395,14.696938456699069,18.973665961010276,16.15549442140351,23.62202362203543,20.12461179749811,3.0,15.297058540778355,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472,22.47220505424423,12.409673645990857,14.0,5.0,28.844410203711913,11.40175425099138,10.862780491200215,20.223748416156685,16.0312195418814,23.853720883753127,5.830951894845301
commondreams,23.853720883753127,6.782329983125268,8.0,12.529964086141668,12.529964086141668,8.0,6.782329983125268,23.853720883753127,11.40175425099138,22.47220505424423,15.297058540778355,31.89043743820395,18.0,8.48528137423857,16.15549442140351,,8.06225774829855,9.899494936611665,10.344080432788601,14.7648230602334,3.0,14.317821063276353,11.224972160321824,19.209372712298546,23.62202362203543,15.297058540778355,16.15549442140351,18.0,6.708203932499369,13.564659966250536,9.0,20.784609690826528,22.64950330581225,13.74772708486752,14.696938456699069,15.0,8.48528137423857,7.810249675906654,15.231546211727817,16.64331697709324,5.0,4.0,18.681541692269406,14.422205101855956,21.0,18.0,6.0,6.708203932499369,11.224972160321824,13.74772708486752,21.0,20.12461179749811,18.973665961010276,31.89043743820395,14.696938456699069,18.973665961010276,16.15549442140351,23.62202362203543,20.12461179749811,3.0,15.297058540778355,17.233687939614086,16.15549442140351,16.97056274847714,21.840329667841555,17.349351572897472
consortium,5.830951894845301,13.45362404707371,12.529964086141668,8.0,8.0,12.529964086141668,13.45362404707371,5.830951894845301,10.862780491200215,12.409673645990857,17.233687939614086,14.696938456699069,6.0,7.810249675906654,18.0,8.06225774829855,,11.916375287812984,19.849433241279208,18.027756377319946,16.0,23.259406699226016,10.344080432788601,7.874007874011811,10.677078252031311,4.123105625617661,23.280893453645632,22.02271554554524,8.06225774829855,9.899494936611665,10.344080432788601,14.7648230602334,3.0,14.317821063276353,11.224972160321824,19.209372712298546,23.62202362203543,15.297058540778355,16.15549442140351,18.0,6.708203932499369,13.564659966250536,9.0,20.784609690826528,22.64950330581225,13.74772708486752,14.696938456699069,15.0,8.48528137423857,7.810249675906654,15.231546211727817,16.64331697709324,5.0,4.0,18.681541692269406,14.422205101855956,21.0,18.0,6.0,6.708203932499369,11.224972160321824,13.74772708486752,21.0,20.12461179749811,18.973665961010276,31.89043743820395
conversation,13.0,8.0,8.0,12.041594578792296,12.041594578792296,8.0,8.0,13.0,20.223748416156685,14.0,16.15549442140351,18.973665961010276,6.708203932499369,15.231546211727817,6.708203932499369,9.899494936611665,11.916375287812984,,21.840329667841555,21.213203435596427,4.242640687119285,6.708203932499369,12.727922061357855,16.15549442140351,19.87460691435179,24.08318915758459,21.93171219946131,20.322401432901575,16.911534525287763,29.816103031751148,11.916375287812984,19.849433241279208,18.027756377319946,16.0,23.259406699226016,10.344080432788601,7.874007874011811,10.677078252031311,4.123105625617661,23.280893453645632,22.02271554554524,8.06225774829855,9.899494936611665,10.344080432788601,14.7648230602334,3.0,14.317821063276353,11.224972160321824,19.209372712298546,23.62202362203543,15.297058540778355,16.15549442140351,18.0,6.708203932499369,13.564659966250536,9.0,20.784609690826528,22.64950330581225,13.74772708486752,14.696938456699069,15.0,8.48528137423857,7.810249675906654,15.231546211727817,16.64331697709324,5.0
counterpunch,6.782329983125268,12.529964086141668,12.041594578792296,12.529964086141668,12.529964086141668,12.041594578792296,12.529964086141668,6.782329983125268,16.0312195418814,5.0,16.97056274847714,16.15549442140351,11.224972160321824,16.64331697709324,13.564659966250536,10.344080432788601,19.849433241279208,21.840329667841555,,11.916375287812984,13.0,11.916375287812984,10.295630140987,7.810249675906654,22.0,15.132745950421556,20.445048300260872,4.123105625617661,12.727922061357855,10.816653826391969,7.810249675906654,4.242640687119285,21.840329667841555,21.213203435596427,4.242640687119285,6.708203932499369,12.727922061357855,16.15549442140351,19.87460691435179,24.08318915758459,21.93171219946131,20.322401432901575,16.911534525287763,29.816103031751148,11.916375287812984,19.849433241279208,18.027756377319946,16.0,23.259406699226016,10.344080432788601,7.874007874011811,10.677078252031311,4.123105625617661,23.280893453645632,22.02271554554524,8.06225774829855,9.899494936611665,10.344080432788601,14.7648230602334,3.0,14.317821063276353,11.224972160321824,19.209372712298546,23.62202362203543,15.297058540778355,16.15549442140351
dailycaller,13.45362404707371,8.0,12.529964086141668,12.884098726725126,12.884098726725126,12.529964086141668,8.0,13.45362404707371,23.853720883753127,28.844410203711913,21.840329667841555,23.62202362203543,13.74772708486752,5.0,9.0,14.7648230602334,18.027756377319946,21.213203435596427,11.916375287812984,,12.569805089976535,14.035668847618199,12.083045973594572,22.825424421026653,15.652475842498529,15.937377450509228,23.727621035409346,6.164414002968976,13.341664064126334,18.867962264113206,15.588457268119896,17.435595774162696,17.0,6.082762530298219,11.916375287812984,13.0,11.916375287812984,10.295630140987,7.810249675906654,22.0,15.132745950421556,20.445048300260872,4.123105625617661,12.727922061357855,10.816653826391969,7.810249675906654,4.242640687119285,21.840329667841555,21.213203435596427,4.242640687119285,6.708203932499369,12.727922061357855,16.15549442140351,19.87460691435179,24.08318915758459,21.93171219946131,20.322401432901575,16.911534525287763,29.816103031751148,11.916375287812984,19.849433241279208,18.027756377319946,16.0,23.259406699226016,10.344080432788601,7.874007874011811
dailykos,8.0,12.041594578792296,12.884098726725126,15.811388300841896,15.811388300841896,12.884098726725126,12.041594578792296,8.0,5.830951894845301,11.40175425099138,17.349351572897472,20.12461179749811,21.0,4.0,20.784609690826528,3.0,16.0,4.242640687119285,13.0,12.569805089976535,,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,14.52583904633395,14.866068747318506,26.888659319497503,14.560219778561036,7.681145747868608,9.899494936611665,12.569805089976535,14.035668847618199,12.083045973594572,22.825424421026653,15.652475842498529,15.937377450509228,23.727621035409346,6.164414002968976,13.341664064126334,18.867962264113206,15.588457268119896,17.435595774162696,17.0,6.082762530298219,11.916375287812984,13.0,11.916375287812984,10.295630140987,7.810249675906654,22.0,15.132745950421556,20.445048300260872,4.123105625617661,12.727922061357855,10.816653826391969,7.810249675906654,4.242640687119285,21.840329667841555,21.213203435596427,4.242640687119285
dailymail,12.529964086141668,12.529964086141668,15.811388300841896,5.830951894845301,5.830951894845301,15.811388300841896,12.529964086141668,12.529964086141668,13.0,10.862780491200215,22.47220505424423,3.0,20.12461179749811,18.681541692269406,22.64950330581225,14.317821063276353,23.259406699226016,6.708203932499369,11.916375287812984,14.035668847618199,13.74772708486752,,18.0,20.12461179749811,19.0,22.847319317591726,6.708203932499369,22.847319317591726,23.62202362203543,22.64950330581225,32.863353450309965,12.36931687685298,10.344080432788601,7.211102550927978,15.297058540778355,19.390719429665317,15.84297951775486,13.416407864998739,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,14.52583904633395,14.866068747318506,26.888659319497503,14.560219778561036,7.681145747868608,9.899494936611665,12.569805089976535,14.035668847618199,12.083045973594572,22.825424421026653,15.652475842498529,15.937377450509228,23.727621035409346,6.164414002968976,13.341664064126334,18.867962264113206,15.588457268119896,17.435595774162696,17.0
