,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
dailywire,12.24744871391589,26.720778431774775,6.324555320336759,26.267851073127396,26.267851073127396,6.324555320336759,26.720778431774775,12.24744871391589,18.05547008526779,4.58257569495584,16.792855623746664,23.68543856465402,18.110770276274835,10.488088481701515,33.95585369269929,16.911534525287763,19.924858845171276,24.1039415863879,19.313207915827967,28.337254630609507,28.0,,15.329709716755891,16.0312195418814,27.94637722496424,19.026297590440446,34.655446902326915,36.46916505762094,27.94637722496424,9.486832980505138,18.627936010197157,26.90724809414742,21.118712081942874,4.47213595499958,18.708286933869708,11.224972160321824,19.026297590440446,25.019992006393608,28.0,18.275666882497067,10.246950765959598,17.029386365926403,19.4164878389476,18.275666882497067,23.043437243605826,18.81488772222678,14.317821063276353,19.339079605813716,16.0,27.09243436828813,19.949937343260004,24.939927826679853,26.645825188948457,14.0,28.337254630609507,8.717797887081348,9.848857801796104,14.0,25.39685019840059,21.118712081942874,7.810249675906654,14.628738838327793,13.490737563232042,17.4928556845359,22.93468988235943
economist,18.05547008526779,17.74823934929885,26.267851073127396,28.337254630609507,28.337254630609507,26.267851073127396,17.74823934929885,18.05547008526779,20.273134932713294,21.6794833886788,14.317821063276353,10.488088481701515,27.80287754891569,9.433981132056603,19.339079605813716,21.93171219946131,7.0710678118654755,9.695359714832659,14.352700094407323,8.717797887081348,18.275666882497067,15.329709716755891,,20.83266665599966,26.49528259898354,29.46183972531247,21.863211109075447,7.810249675906654,21.213203435596427,23.430749027719962,21.863211109075447,23.727621035409346,20.73644135332772,18.466185312619388,25.317977802344327,33.0,25.787593916455254,27.730849247724095,15.652475842498529,14.45683229480096,15.329709716755891,16.0312195418814,27.94637722496424,19.026297590440446,34.655446902326915,36.46916505762094,27.94637722496424,9.486832980505138,18.627936010197157,26.90724809414742,21.118712081942874,4.47213595499958,18.708286933869708,11.224972160321824,19.026297590440446,25.019992006393608,28.0,18.275666882497067,10.246950765959598,17.029386365926403,19.4164878389476,18.275666882497067,23.043437243605826,18.81488772222678,14.317821063276353
federalist,25.337718918639855,6.324555320336759,28.337254630609507,25.96150997149434,25.96150997149434,28.337254630609507,6.324555320336759,25.337718918639855,24.1039415863879,29.8496231131986,23.0,9.433981132056603,24.698178070456937,26.28687885618983,14.247806848775006,29.698484809834994,9.486832980505138,11.180339887498949,23.388031127053,9.848857801796104,10.246950765959598,16.0312195418814,20.83266665599966,,11.180339887498949,16.0312195418814,20.12461179749811,23.259406699226016,16.09347693943108,6.324555320336759,23.043437243605826,25.80697580112788,16.09347693943108,21.95449840010015,13.45362404707371,16.673332000533065,24.515301344262525,4.47213595499958,25.41653005427767,8.0,22.045407685048602,9.273618495495704,20.83266665599966,26.49528259898354,29.46183972531247,21.863211109075447,7.810249675906654,21.213203435596427,23.430749027719962,21.863211109075447,23.727621035409346,20.73644135332772,18.466185312619388,25.317977802344327,33.0,25.787593916455254,27.730849247724095,15.652475842498529,14.45683229480096,15.329709716755891,16.0312195418814,27.94637722496424,19.026297590440446,34.655446902326915,36.46916505762094
foreignaffairs,26.720778431774775,26.267851073127396,25.96150997149434,22.58317958127243,22.58317958127243,25.96150997149434,26.267851073127396,26.720778431774775,17.05872210923198,14.0,24.041630560342615,16.76305461424021,10.04987562112089,28.74021572639983,11.045361017187261,31.89043743820395,14.212670403551895,16.1245154965971,15.937377450509228,14.0,17.029386365926403,27.94637722496424,26.49528259898354,11.180339887498949,,8.602325267042627,18.920887928424502,12.727922061357855,18.05547008526779,20.591260281974,7.0710678118654755,18.894443627691185,12.569805089976535,15.264337522473747,7.0710678118654755,20.273134932713294,12.24744871391589,3.0,9.0,21.863211109075447,8.774964387392123,24.392621835300936,7.0,15.588457268119896,11.180339887498949,16.0312195418814,20.12461179749811,23.259406699226016,16.09347693943108,6.324555320336759,23.043437243605826,25.80697580112788,16.09347693943108,21.95449840010015,13.45362404707371,16.673332000533065,24.515301344262525,4.47213595499958,25.41653005427767,8.0,22.045407685048602,9.273618495495704,20.83266665599966,26.49528259898354,29.46183972531247
fox,17.74823934929885,28.337254630609507,22.58317958127243,12.24744871391589,12.24744871391589,22.58317958127243,28.337254630609507,17.74823934929885,12.24744871391589,24.596747752497688,19.313207915827967,20.639767440550294,20.808652046684813,21.61018278497431,22.20360331117452,16.911534525287763,17.69180601295413,21.400934559032695,12.206555615733702,25.39685019840059,19.4164878389476,19.026297590440446,29.46183972531247,16.0312195418814,8.602325267042627,,13.96424004376894,15.264337522473747,21.18962010041709,17.233687939614086,23.345235059857504,25.514701644346147,13.45362404707371,22.67156809750927,6.4031242374328485,8.602325267042627,13.45362404707371,22.090722034374522,18.788294228055936,4.242640687119285,14.45683229480096,17.549928774784245,25.709920264364882,13.564659966250536,10.295630140987,10.770329614269007,8.602325267042627,18.920887928424502,12.727922061357855,18.05547008526779,20.591260281974,7.0710678118654755,18.894443627691185,12.569805089976535,15.264337522473747,7.0710678118654755,20.273134932713294,12.24744871391589,3.0,9.0,21.863211109075447,8.774964387392123,24.392621835300936,7.0,15.588457268119896
freebeacon,6.324555320336759,25.96150997149434,12.24744871391589,8.0,8.0,12.24744871391589,25.96150997149434,6.324555320336759,18.05547008526779,18.05547008526779,12.041594578792296,14.798648586948742,29.223278392404914,20.73644135332772,21.61018278497431,13.601470508735444,23.53720459187964,23.958297101421877,23.280893453645632,21.118712081942874,18.275666882497067,34.655446902326915,21.863211109075447,20.12461179749811,18.920887928424502,13.96424004376894,,8.831760866327848,18.81488772222678,16.431676725154983,22.0,13.2664991614216,18.81488772222678,20.248456731316587,14.7648230602334,24.677925358506133,13.638181696985855,14.798648586948742,14.7648230602334,16.881943016134134,17.029386365926403,8.06225774829855,7.14142842854285,19.339079605813716,19.261360284258224,29.017236257093817,15.066519173319364,6.4031242374328485,13.96424004376894,15.264337522473747,21.18962010041709,17.233687939614086,23.345235059857504,25.514701644346147,13.45362404707371,22.67156809750927,6.4031242374328485,8.602325267042627,13.45362404707371,22.090722034374522,18.788294228055936,4.242640687119285,14.45683229480096,17.549928774784245,25.709920264364882
globalresearch,26.267851073127396,22.58317958127243,8.0,24.372115213907882,24.372115213907882,8.0,22.58317958127243,26.267851073127396,25.337718918639855,20.273134932713294,4.58257569495584,20.049937655763422,27.294688127912362,17.0,18.110770276274835,8.0,25.67099530598687,23.194827009486403,14.352700094407323,7.810249675906654,23.043437243605826,36.46916505762094,7.810249675906654,23.259406699226016,12.727922061357855,15.264337522473747,8.831760866327848,,20.149441679609886,2.0,18.05547008526779,14.0,26.115129714401192,18.601075237738275,23.45207879911715,25.25866188063018,12.0,27.03701166919155,9.38083151964686,11.0,12.0,24.677925358506133,19.339079605813716,6.4031242374328485,8.06225774829855,9.899494936611665,22.11334438749598,23.366642891095847,25.15949125081825,19.849433241279208,8.831760866327848,18.81488772222678,16.431676725154983,22.0,13.2664991614216,18.81488772222678,20.248456731316587,14.7648230602334,24.677925358506133,13.638181696985855,14.798648586948742,14.7648230602334,16.881943016134134,17.029386365926403,8.06225774829855
guardian,28.337254630609507,12.24744871391589,24.372115213907882,17.029386365926403,17.029386365926403,24.372115213907882,12.24744871391589,28.337254630609507,26.720778431774775,24.1039415863879,21.6794833886788,16.792855623746664,12.569805089976535,20.639767440550294,20.808652046684813,19.87460691435179,14.212670403551895,6.708203932499369,16.431676725154983,14.628738838327793,18.81488772222678,27.94637722496424,21.213203435596427,16.09347693943108,18.05547008526779,21.18962010041709,18.81488772222678,20.149441679609886,,25.826343140289914,13.92838827718412,20.149441679609886,9.695359714832659,7.3484692283495345,18.708286933869708,15.165750888103101,18.0,21.02379604162864,8.366600265340756,15.132745950421556,21.213203435596427,24.186773244895647,8.366600265340756,24.1039415863879,10.0,13.379088160259652,8.602325267042627,6.082762530298219,8.602325267042627,22.869193252058544,24.454038521274967,31.953090617340916,20.149441679609886,2.0,18.05547008526779,14.0,26.115129714401192,18.601075237738275,23.45207879911715,25.25866188063018,12.0,27.03701166919155,9.38083151964686,11.0,12.0
huffingtonpost,25.96150997149434,8.0,17.029386365926403,25.495097567963924,25.495097567963924,17.029386365926403,8.0,25.96150997149434,17.74823934929885,17.05872210923198,29.8496231131986,14.317821063276353,23.68543856465402,3.0,0.0,19.339079605813716,10.04987562112089,25.019992006393608,18.920887928424502,13.490737563232042,14.317821063276353,9.486832980505138,23.430749027719962,6.324555320336759,20.591260281974,17.233687939614086,16.431676725154983,2.0,25.826343140289914,,28.930952282978865,15.033296378372908,27.586228448267445,26.851443164195103,25.709920264364882,19.209372712298546,23.2163735324878,9.1104335791443,3.0,1.0,19.621416870348583,24.20743687382041,31.89043743820395,33.94112549695428,19.621416870348583,13.490737563232042,11.0,22.22611077089287,18.275666882497067,19.748417658131498,17.11724276862369,10.488088481701515,9.0,16.431676725154983,25.826343140289914,13.92838827718412,20.149441679609886,9.695359714832659,7.3484692283495345,18.708286933869708,15.165750888103101,18.0,21.02379604162864,8.366600265340756,15.132745950421556
independent,22.58317958127243,24.372115213907882,25.495097567963924,24.041630560342615,24.041630560342615,25.495097567963924,24.372115213907882,22.58317958127243,6.324555320336759,12.24744871391589,14.0,23.0,10.488088481701515,18.110770276274835,23.68543856465402,24.839484696748443,7.0710678118654755,27.03701166919155,2.0,17.4928556845359,19.339079605813716,18.627936010197157,21.863211109075447,23.043437243605826,7.0710678118654755,23.345235059857504,22.0,18.05547008526779,13.92838827718412,28.930952282978865,,13.74772708486752,18.0,30.4138126514911,14.142135623730951,14.628738838327793,10.0,7.3484692283495345,21.95449840010015,18.05547008526779,22.045407685048602,24.819347291981714,6.782329983125268,19.621416870348583,15.297058540778355,18.24828759089466,6.782329983125268,26.589471600616662,14.628738838327793,9.433981132056603,21.0,25.475478405713993,20.273134932713294,25.495097567963924,20.615528128088304,22.847319317591726,28.930952282978865,15.033296378372908,27.586228448267445,26.851443164195103,25.709920264364882,19.209372712298546,23.2163735324878,9.1104335791443,3.0
infowars,12.24744871391589,17.029386365926403,24.041630560342615,29.478805945967352,29.478805945967352,24.041630560342615,17.029386365926403,12.24744871391589,26.267851073127396,18.05547008526779,24.596747752497688,24.041630560342615,9.433981132056603,27.80287754891569,10.488088481701515,31.906112267087632,14.177446878757825,23.194827009486403,21.236760581595302,22.93468988235943,16.0,26.90724809414742,23.727621035409346,25.80697580112788,18.894443627691185,25.514701644346147,13.2664991614216,14.0,20.149441679609886,15.033296378372908,13.74772708486752,,23.280893453645632,15.0,16.431676725154983,9.539392014169456,18.384776310850235,31.906112267087632,19.544820285692065,25.80697580112788,7.874007874011811,15.937377450509228,18.973665961010276,21.02379604162864,26.115129714401192,10.44030650891055,31.464265445104548,33.54101966249684,26.115129714401192,14.45683229480096,18.110770276274835,24.71841418861655,24.919871588754223,7.3484692283495345,12.884098726725126,17.146428199482248,12.449899597988733,7.483314773547883,13.74772708486752,18.0,30.4138126514911,14.142135623730951,14.628738838327793,10.0,7.3484692283495345
intercept,8.0,25.495097567963924,29.478805945967352,28.861739379323623,28.861739379323623,29.478805945967352,25.495097567963924,8.0,28.337254630609507,25.337718918639855,18.05547008526779,19.313207915827967,16.76305461424021,24.698178070456937,9.433981132056603,33.95585369269929,3.1622776601683795,16.15549442140351,19.8997487421324,26.0,27.09243436828813,21.118712081942874,20.73644135332772,16.09347693943108,12.569805089976535,13.45362404707371,18.81488772222678,26.115129714401192,9.695359714832659,27.586228448267445,18.0,23.280893453645632,,11.74734012447073,5.0,13.114877048604,18.35755975068582,22.494443758403985,15.132745950421556,14.247806848775006,12.041594578792296,6.557438524302,18.027756377319946,9.0,13.45362404707371,16.15549442140351,5.916079783099616,17.549928774784245,17.52141546793523,20.149441679609886,5.916079783099616,18.05547008526779,7.280109889280518,7.615773105863909,26.49528259898354,20.12461179749811,21.633307652783937,30.757112998459398,25.573423705088842,26.70205984563738,23.280893453645632,15.0,16.431676725154983,9.539392014169456,18.384776310850235
jacobinmag,24.372115213907882,24.041630560342615,28.861739379323623,25.495097567963924,25.495097567963924,28.861739379323623,24.041630560342615,24.372115213907882,25.96150997149434,26.720778431774775,20.273134932713294,12.041594578792296,20.639767440550294,10.04987562112089,26.28687885618983,19.339079605813716,16.911534525287763,18.16590212458495,22.64950330581225,14.352700094407323,19.949937343260004,4.47213595499958,18.466185312619388,21.95449840010015,15.264337522473747,22.67156809750927,20.248456731316587,18.601075237738275,7.3484692283495345,26.851443164195103,30.4138126514911,15.0,11.74734012447073,,18.384776310850235,17.05872210923198,10.0,10.44030650891055,18.110770276274835,24.1039415863879,15.620499351813308,19.6468827043885,11.661903789690601,5.830951894845301,18.920887928424502,12.727922061357855,15.033296378372908,18.0,7.0710678118654755,16.0312195418814,21.863211109075447,24.758836806279895,7.0710678118654755,22.15851980616034,7.0710678118654755,13.0,20.808652046684813,9.219544457292887,16.186414056238647,8.54400374531753,12.449899597988733,11.704699910719626,11.74734012447073,5.0,13.114877048604
jpost,17.029386365926403,29.478805945967352,25.495097567963924,18.788294228055936,18.788294228055936,25.495097567963924,29.478805945967352,17.029386365926403,22.58317958127243,17.74823934929885,24.1039415863879,4.58257569495584,14.798648586948742,20.808652046684813,28.74021572639983,14.247806848775006,21.93171219946131,19.924858845171276,2.0,11.180339887498949,24.939927826679853,18.708286933869708,25.317977802344327,13.45362404707371,7.0710678118654755,6.4031242374328485,14.7648230602334,23.45207879911715,18.708286933869708,25.709920264364882,14.142135623730951,16.431676725154983,5.0,18.384776310850235,,27.331300737432898,24.186773244895647,21.95449840010015,20.42057785666214,11.832159566199232,6.4031242374328485,20.049937655763422,9.643650760992955,28.19574435974337,13.0,25.199206336708304,4.58257569495584,20.024984394500787,25.553864678361276,28.231188426986208,25.03996805109783,7.211102550927978,24.71841418861655,26.645825188948457,25.03996805109783,20.346989949375804,21.470910553583888,21.213203435596427,6.708203932499369,21.02379604162864,8.717797887081348,18.027756377319946,3.1622776601683795,17.72004514666935,18.384776310850235
lewrockwell,25.495097567963924,28.861739379323623,18.788294228055936,29.899832775452108,29.899832775452108,18.788294228055936,28.861739379323623,25.495097567963924,12.24744871391589,6.324555320336759,17.05872210923198,21.6794833886788,20.049937655763422,29.223278392404914,21.61018278497431,11.045361017187261,29.698484809834994,7.0710678118654755,24.1039415863879,16.55294535724685,26.645825188948457,11.224972160321824,33.0,16.673332000533065,20.273134932713294,8.602325267042627,24.677925358506133,25.25866188063018,15.165750888103101,19.209372712298546,14.628738838327793,9.539392014169456,13.114877048604,17.05872210923198,27.331300737432898,,16.09347693943108,24.919871588754223,23.853720883753127,19.849433241279208,17.804493814764857,8.366600265340756,1.0,24.331050121192877,5.0,25.942243542145693,8.06225774829855,21.93171219946131,9.219544457292887,20.808652046684813,26.28687885618983,29.274562336608895,21.840329667841555,7.0710678118654755,21.93171219946131,24.20743687382041,21.840329667841555,23.874672772626646,20.46948949045872,18.867962264113206,20.904544960366874,20.396078054371138,11.704699910719626,22.561028345356956,27.53179979587241
mintpress,24.041630560342615,25.495097567963924,29.899832775452108,24.124676163629637,24.124676163629637,29.899832775452108,25.495097567963924,24.041630560342615,8.0,26.267851073127396,12.24744871391589,29.8496231131986,16.792855623746664,27.294688127912362,20.73644135332772,22.20360331117452,31.89043743820395,9.486832980505138,9.695359714832659,19.313207915827967,14.0,19.026297590440446,25.787593916455254,24.515301344262525,12.24744871391589,13.45362404707371,13.638181696985855,12.0,18.0,23.2163735324878,10.0,18.384776310850235,18.35755975068582,10.0,24.186773244895647,16.09347693943108,,24.758836806279895,6.782329983125268,13.490737563232042,17.029386365926403,12.12435565298214,7.211102550927978,12.041594578792296,16.0,29.274562336608895,12.165525060596439,15.165750888103101,8.0,8.366600265340756,20.149441679609886,17.4928556845359,21.863211109075447,24.73863375370596,7.874007874011811,17.804493814764857,15.033296378372908,18.027756377319946,7.874007874011811,25.67099530598687,14.352700094407323,9.219544457292887,6.48074069840786,17.804493814764857,18.384776310850235
motherjones,29.478805945967352,18.788294228055936,24.124676163629637,24.06241883103193,24.06241883103193,24.124676163629637,18.788294228055936,29.478805945967352,24.372115213907882,28.337254630609507,18.05547008526779,14.0,14.317821063276353,12.569805089976535,17.0,21.61018278497431,16.911534525287763,14.212670403551895,11.180339887498949,14.352700094407323,28.337254630609507,25.019992006393608,27.730849247724095,4.47213595499958,3.0,22.090722034374522,14.798648586948742,27.03701166919155,21.02379604162864,9.1104335791443,7.3484692283495345,31.906112267087632,22.494443758403985,10.44030650891055,21.95449840010015,24.919871588754223,24.758836806279895,,8.717797887081348,18.027756377319946,3.1622776601683795,17.72004514666935,18.384776310850235,17.05872210923198,10.0,10.44030650891055,18.110770276274835,24.1039415863879,15.620499351813308,19.6468827043885,11.661903789690601,5.830951894845301,18.920887928424502,12.727922061357855,15.033296378372908,18.0,7.0710678118654755,16.0312195418814,21.863211109075447,24.758836806279895,7.0710678118654755,22.15851980616034,7.0710678118654755,13.0,16.0312195418814
nationalreview,28.861739379323623,29.899832775452108,24.06241883103193,26.94438717061496,26.94438717061496,24.06241883103193,29.899832775452108,28.861739379323623,17.029386365926403,25.96150997149434,25.337718918639855,24.596747752497688,23.0,23.68543856465402,20.639767440550294,18.110770276274835,13.601470508735444,17.69180601295413,16.1245154965971,23.388031127053,8.717797887081348,28.0,15.652475842498529,25.41653005427767,9.0,18.788294228055936,14.7648230602334,9.38083151964686,8.366600265340756,3.0,21.95449840010015,19.544820285692065,15.132745950421556,18.110770276274835,20.42057785666214,23.853720883753127,6.782329983125268,8.717797887081348,,32.83291031876401,17.26267650163207,33.24154027718932,23.194827009486403,10.392304845413264,14.352700094407323,7.810249675906654,14.352700094407323,24.879710609249457,22.67156809750927,35.84689665786984,18.601075237738275,9.38083151964686,18.384776310850235,21.72556098240043,26.343879744638983,24.939927826679853,31.144823004794873,33.25657829663178,19.8997487421324,27.910571473905726,2.0,1.0,19.8997487421324,28.722813232690143,26.419689627245813
nbc,25.495097567963924,24.124676163629637,26.94438717061496,13.490737563232042,13.490737563232042,26.94438717061496,24.124676163629637,25.495097567963924,25.495097567963924,22.58317958127243,26.720778431774775,18.05547008526779,24.041630560342615,10.488088481701515,3.0,20.808652046684813,8.0,23.53720459187964,21.400934559032695,15.937377450509228,9.848857801796104,18.275666882497067,14.45683229480096,8.0,21.863211109075447,4.242640687119285,16.881943016134134,11.0,15.132745950421556,1.0,18.05547008526779,25.80697580112788,14.247806848775006,24.1039415863879,11.832159566199232,19.849433241279208,13.490737563232042,18.027756377319946,32.83291031876401,,12.206555615733702,11.045361017187261,19.79898987322333,10.63014581273465,14.7648230602334,23.62202362203543,19.026297590440446,21.42428528562855,16.24807680927192,13.152946437965905,18.867962264113206,11.357816691600547,18.33030277982336,25.099800796022265,17.08800749063506,16.673332000533065,13.19090595827292,6.48074069840786,8.602325267042627,11.313708498984761,17.146428199482248,13.601470508735444,27.313000567495326,29.68164415931166,17.146428199482248
neweasternoutlook,18.788294228055936,24.06241883103193,13.490737563232042,7.211102550927978,7.211102550927978,13.490737563232042,24.06241883103193,18.788294228055936,24.041630560342615,12.24744871391589,17.74823934929885,20.273134932713294,19.313207915827967,9.433981132056603,18.110770276274835,0.0,19.87460691435179,25.67099530598687,23.958297101421877,12.206555615733702,14.0,10.246950765959598,15.329709716755891,22.045407685048602,8.774964387392123,14.45683229480096,17.029386365926403,12.0,21.213203435596427,19.621416870348583,22.045407685048602,7.874007874011811,12.041594578792296,15.620499351813308,6.4031242374328485,17.804493814764857,17.029386365926403,3.1622776601683795,17.26267650163207,12.206555615733702,,23.194827009486403,17.0,30.430248109405877,19.339079605813716,27.477263328068172,23.790754506740637,8.366600265340756,7.211102550927978,7.280109889280518,13.341664064126334,25.787593916455254,25.019992006393608,31.064449134018133,21.213203435596427,7.0710678118654755,20.83266665599966,20.83266665599966,25.45584412271571,20.09975124224178,25.96150997149434,27.459060435491963,18.920887928424502,28.30194339616981,9.273618495495704
newyorker,29.899832775452108,26.94438717061496,7.211102550927978,13.45362404707371,13.45362404707371,7.211102550927978,26.94438717061496,29.899832775452108,29.478805945967352,8.0,6.324555320336759,24.1039415863879,12.041594578792296,16.76305461424021,27.80287754891569,23.68543856465402,19.339079605813716,14.212670403551895,23.194827009486403,23.280893453645632,25.39685019840059,17.029386365926403,16.0312195418814,9.273618495495704,24.392621835300936,17.549928774784245,8.06225774829855,24.677925358506133,24.186773244895647,24.20743687382041,24.819347291981714,15.937377450509228,6.557438524302,19.6468827043885,20.049937655763422,8.366600265340756,12.12435565298214,17.72004514666935,33.24154027718932,11.045361017187261,23.194827009486403,,29.171904291629644,21.587033144922902,16.09347693943108,33.13608305156178,16.431676725154983,28.30194339616981,22.045407685048602,4.0,9.486832980505138,7.280109889280518,12.083045973594572,25.98076211353316,26.49528259898354,34.132096331752024,22.22611077089287,2.0,20.73644135332772,18.0,28.178005607210743,21.400934559032695,26.49528259898354,28.106938645110393,16.0
npr,24.124676163629637,13.490737563232042,13.45362404707371,17.029386365926403,17.029386365926403,13.45362404707371,13.490737563232042,24.124676163629637,28.861739379323623,24.372115213907882,26.267851073127396,17.05872210923198,4.58257569495584,20.639767440550294,24.698178070456937,10.488088481701515,24.839484696748443,10.04987562112089,6.708203932499369,14.352700094407323,21.118712081942874,19.4164878389476,27.94637722496424,20.83266665599966,7.0,25.709920264364882,7.14142842854285,19.339079605813716,8.366600265340756,31.89043743820395,6.782329983125268,18.973665961010276,18.027756377319946,11.661903789690601,9.643650760992955,1.0,7.211102550927978,18.384776310850235,23.194827009486403,19.79898987322333,17.0,29.171904291629644,,12.206555615733702,9.219544457292887,16.3707055437449,14.317821063276353,8.366600265340756,20.0,18.681541692269406,16.911534525287763,22.759613353482084,17.832554500127006,18.411952639521967,15.748015748023622,11.532562594670797,12.165525060596439,13.152946437965905,12.328828005937952,23.790754506740637,13.416407864998739,20.149441679609886,5.0990195135927845,11.224972160321824,16.911534525287763
