,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0
alternet,10.04987562112089,,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089
ap,7.0710678118654755,10.246950765959598,,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772
atlantic,0.0,4.0,11.180339887498949,,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772,4.242640687119285
breitbart,7.0710678118654755,9.055385138137417,10.04987562112089,11.0,,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772,4.242640687119285
buzzfeed,10.246950765959598,11.180339887498949,11.0,0.0,0.0,,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772
cbs,4.0,10.04987562112089,0.0,11.357816691600547,11.357816691600547,0.0,,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089
cnn,9.055385138137417,11.0,11.357816691600547,11.40175425099138,11.40175425099138,11.357816691600547,11.0,,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0
commondreams,11.180339887498949,0.0,11.40175425099138,6.708203932499369,6.708203932499369,11.40175425099138,0.0,11.180339887498949,,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089
conversation,10.04987562112089,11.357816691600547,6.708203932499369,3.0,3.0,6.708203932499369,11.357816691600547,10.04987562112089,10.246950765959598,,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661
dailycaller,11.0,11.40175425099138,3.0,3.7416573867739413,3.7416573867739413,3.0,11.40175425099138,11.0,4.0,10.04987562112089,,2.0,7.0710678118654755,2.0,10.04987562112089,3.0,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285
dailykos,0.0,6.708203932499369,3.7416573867739413,8.306623862918075,8.306623862918075,3.7416573867739413,6.708203932499369,0.0,9.055385138137417,7.0710678118654755,2.0,,4.47213595499958,6.708203932499369,5.656854249492381,4.242640687119285,5.656854249492381,10.04987562112089,2.0,7.0710678118654755,2.0,10.04987562112089,3.0,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075
dailymail,11.357816691600547,3.0,8.306623862918075,7.0710678118654755,7.0710678118654755,8.306623862918075,3.0,11.357816691600547,11.180339887498949,0.0,7.0710678118654755,4.47213595499958,,0.0,2.0,2.8284271247461903,8.54400374531753,4.47213595499958,5.830951894845301,4.47213595499958,4.47213595499958,6.708203932499369,5.656854249492381,4.242640687119285,5.656854249492381,10.04987562112089,2.0,7.0710678118654755,2.0,10.04987562112089,3.0,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089
dailywire,11.40175425099138,3.7416573867739413,7.0710678118654755,16.55294535724685,16.55294535724685,7.0710678118654755,3.7416573867739413,11.40175425099138,10.04987562112089,7.0710678118654755,2.0,6.708203932499369,0.0,,6.4031242374328485,1.7320508075688772,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,2.0,2.8284271247461903,8.54400374531753,4.47213595499958,5.830951894845301,4.47213595499958,4.47213595499958,6.708203932499369,5.656854249492381,4.242640687119285,5.656854249492381,10.04987562112089,2.0,7.0710678118654755,2.0,10.04987562112089,3.0
economist,6.708203932499369,8.306623862918075,16.55294535724685,7.0,7.0,16.55294535724685,8.306623862918075,6.708203932499369,11.0,10.246950765959598,10.04987562112089,5.656854249492381,2.0,6.4031242374328485,,3.0,4.123105625617661,3.0,1.7320508075688772,5.196152422706632,5.916079783099616,3.3166247903554,9.273618495495704,1.7320508075688772,6.4031242374328485,1.7320508075688772,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,2.0,2.8284271247461903,8.54400374531753,4.47213595499958,5.830951894845301,4.47213595499958,4.47213595499958
federalist,3.0,7.0710678118654755,7.0,11.0,11.0,7.0,7.0710678118654755,3.0,0.0,4.0,3.0,4.242640687119285,2.8284271247461903,1.7320508075688772,3.0,,10.246950765959598,1.4142135623730951,7.3484692283495345,1.4142135623730951,2.449489742783178,3.0,4.123105625617661,4.123105625617661,3.605551275463989,7.0710678118654755,3.0,4.123105625617661,3.0,1.7320508075688772,5.196152422706632,5.916079783099616,3.3166247903554,9.273618495495704,1.7320508075688772,6.4031242374328485,1.7320508075688772,4.47213595499958,5.656854249492381,2.0
fox,3.7416573867739413,16.55294535724685,11.0,12.206555615733702,12.206555615733702,11.0,16.55294535724685,3.7416573867739413,11.357816691600547,9.055385138137417,10.04987562112089,5.656854249492381,8.54400374531753,4.47213595499958,4.123105625617661,10.246950765959598,,2.0,10.44030650891055,4.0,7.615773105863909,4.0,3.3166247903554,1.0,1.4142135623730951,5.477225575051661,6.48074069840786,3.1622776601683795,10.246950765959598,1.4142135623730951,7.3484692283495345,1.4142135623730951,2.449489742783178,3.0,4.123105625617661,4.123105625617661,3.605551275463989,7.0710678118654755,3.0,4.123105625617661
guardian,8.306623862918075,7.0,12.206555615733702,7.280109889280518,7.280109889280518,12.206555615733702,7.0,8.306623862918075,11.40175425099138,11.180339887498949,7.0710678118654755,10.04987562112089,4.47213595499958,5.656854249492381,3.0,1.4142135623730951,2.0,,4.47213595499958,6.324555320336759,4.123105625617661,6.0,1.4142135623730951,6.0,5.0990195135927845,5.0,5.196152422706632,4.0,2.0,4.0,2.0,10.44030650891055,4.0,7.615773105863909,4.0,3.3166247903554,1.0,1.4142135623730951,5.477225575051661,6.48074069840786
huffingtonpost,7.0710678118654755,11.0,7.280109889280518,4.242640687119285,4.242640687119285,7.280109889280518,11.0,7.0710678118654755,6.708203932499369,10.04987562112089,0.0,2.0,5.830951894845301,2.0,1.7320508075688772,7.3484692283495345,10.44030650891055,4.47213595499958,,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,7.211102550927978,6.164414002968976,3.0,5.196152422706632,6.0,5.656854249492381,4.47213595499958,6.324555320336759,4.123105625617661,6.0,1.4142135623730951,6.0,5.0990195135927845,5.0
infowars,16.55294535724685,12.206555615733702,4.242640687119285,10.198039027185569,10.198039027185569,4.242640687119285,12.206555615733702,16.55294535724685,3.0,11.0,7.0710678118654755,7.0710678118654755,4.47213595499958,10.04987562112089,5.196152422706632,1.4142135623730951,4.0,6.324555320336759,4.47213595499958,,0.0,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,6.0,4.0,1.4142135623730951,3.0,1.7320508075688772,0.0,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755
lewrockwell,7.0,7.280109889280518,10.198039027185569,10.198039027185569,10.198039027185569,10.198039027185569,7.280109889280518,7.0,3.7416573867739413,0.0,10.246950765959598,2.0,4.47213595499958,0.0,5.916079783099616,2.449489742783178,7.615773105863909,4.123105625617661,5.656854249492381,0.0,,2.23606797749979,2.449489742783178,6.164414002968976,7.3484692283495345,3.7416573867739413,11.357816691600547,2.449489742783178,8.48528137423857,2.449489742783178,0.0,6.0,4.0,1.4142135623730951,3.0,1.7320508075688772,0.0,4.47213595499958,5.656854249492381,2.0
motherjones,11.0,4.242640687119285,10.198039027185569,11.357816691600547,11.357816691600547,10.198039027185569,4.242640687119285,11.0,8.306623862918075,11.357816691600547,4.0,10.04987562112089,6.708203932499369,7.0710678118654755,3.3166247903554,3.0,4.0,6.0,2.0,4.47213595499958,2.23606797749979,,4.242640687119285,4.242640687119285,3.0,2.23606797749979,4.123105625617661,1.0,10.198039027185569,3.0,7.280109889280518,3.0,2.449489742783178,2.449489742783178,7.3484692283495345,5.477225575051661,1.4142135623730951,4.58257569495584,2.23606797749979,2.449489742783178
nationalreview,12.206555615733702,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,11.357816691600547,10.198039027185569,12.206555615733702,7.0710678118654755,11.40175425099138,9.055385138137417,3.0,5.656854249492381,0.0,9.273618495495704,4.123105625617661,3.3166247903554,1.4142135623730951,10.04987562112089,5.656854249492381,2.449489742783178,4.242640687119285,,4.123105625617661,4.242640687119285,4.242640687119285,3.0,2.23606797749979,4.123105625617661,1.0,10.198039027185569,3.0,7.280109889280518,3.0,4.58257569495584,3.0,3.0,6.708203932499369,1.0,4.123105625617661
nbc,7.280109889280518,10.198039027185569,10.04987562112089,10.04987562112089,10.04987562112089,10.04987562112089,10.198039027185569,7.280109889280518,16.55294535724685,6.708203932499369,11.180339887498949,10.04987562112089,4.242640687119285,2.0,1.7320508075688772,4.123105625617661,1.0,6.0,0.0,2.0,6.164414002968976,4.242640687119285,4.123105625617661,,7.0,8.660254037844387,5.656854249492381,7.874007874011811,8.06225774829855,5.0,3.0,7.280109889280518,4.242640687119285,8.06225774829855,3.0,8.06225774829855,0.0,4.58257569495584,3.0,3.0
npr,4.242640687119285,11.357816691600547,10.04987562112089,4.123105625617661,4.123105625617661,10.04987562112089,11.357816691600547,4.242640687119285,7.0,3.0,10.04987562112089,7.0710678118654755,5.656854249492381,2.8284271247461903,6.4031242374328485,3.605551275463989,1.4142135623730951,5.0990195135927845,7.0710678118654755,10.04987562112089,7.3484692283495345,3.0,4.242640687119285,7.0,,4.242640687119285,3.1622776601683795,5.0990195135927845,3.0,4.58257569495584,4.242640687119285,1.4142135623730951,1.4142135623730951,3.1622776601683795,7.280109889280518,4.242640687119285,4.47213595499958,4.242640687119285,7.0710678118654755,7.0710678118654755
nypost,10.198039027185569,10.04987562112089,4.123105625617661,10.44030650891055,10.44030650891055,4.123105625617661,10.04987562112089,10.198039027185569,11.0,3.7416573867739413,11.0,0.0,10.04987562112089,8.54400374531753,1.7320508075688772,7.0710678118654755,5.477225575051661,5.0,0.0,0.0,3.7416573867739413,2.23606797749979,4.242640687119285,8.660254037844387,4.242640687119285,,2.8284271247461903,8.246211251235321,4.898979485566356,2.449489742783178,5.385164807134504,3.3166247903554,2.8284271247461903,6.0,7.483314773547883,3.4641016151377544,12.206555615733702,2.8284271247461903,9.273618495495704,2.8284271247461903
nytimes,10.198039027185569,10.04987562112089,10.44030650891055,10.246950765959598,10.246950765959598,10.44030650891055,10.04987562112089,10.198039027185569,12.206555615733702,8.306623862918075,0.0,7.0710678118654755,2.0,4.47213595499958,4.47213595499958,3.0,6.48074069840786,5.196152422706632,7.211102550927978,7.0710678118654755,11.357816691600547,4.123105625617661,3.0,5.656854249492381,3.1622776601683795,2.8284271247461903,,1.4142135623730951,1.4142135623730951,7.0710678118654755,3.1622776601683795,2.449489742783178,4.123105625617661,3.0,1.4142135623730951,4.242640687119285,5.830951894845301,1.4142135623730951,11.0,1.4142135623730951
pjmedia,11.357816691600547,4.123105625617661,10.246950765959598,7.0710678118654755,7.0710678118654755,10.246950765959598,4.123105625617661,11.357816691600547,7.280109889280518,7.0710678118654755,11.357816691600547,10.246950765959598,7.0710678118654755,5.830951894845301,5.656854249492381,4.123105625617661,3.1622776601683795,4.0,6.164414002968976,0.0,2.449489742783178,1.0,2.23606797749979,7.874007874011811,5.0990195135927845,8.246211251235321,1.4142135623730951,,4.898979485566356,3.1622776601683795,3.1622776601683795,3.1622776601683795,4.242640687119285,3.7416573867739413,1.0,3.0,3.1622776601683795,3.1622776601683795,3.1622776601683795,3.1622776601683795
rawstory,10.04987562112089,10.44030650891055,7.0710678118654755,9.273618495495704,9.273618495495704,7.0710678118654755,10.44030650891055,10.04987562112089,4.242640687119285,16.55294535724685,11.40175425099138,4.0,2.0,4.47213595499958,2.0,3.0,10.246950765959598,2.0,3.0,6.0,8.48528137423857,10.198039027185569,4.123105625617661,8.06225774829855,3.0,4.898979485566356,1.4142135623730951,4.898979485566356,,13.341664064126334,17.578395831246947,16.278820596099706,16.278820596099706,16.278820596099706,12.36931687685298,17.291616465790582,16.0,17.146428199482248,16.278820596099706,12.041594578792296
redstate,10.04987562112089,10.246950765959598,9.273618495495704,10.04987562112089,10.04987562112089,9.273618495495704,10.246950765959598,10.04987562112089,10.198039027185569,7.0,6.708203932499369,9.055385138137417,10.04987562112089,4.47213595499958,10.04987562112089,1.7320508075688772,1.4142135623730951,4.0,5.196152422706632,4.0,2.449489742783178,3.0,1.0,5.0,4.58257569495584,2.449489742783178,7.0710678118654755,3.1622776601683795,13.341664064126334,,3.1622776601683795,3.1622776601683795,5.385164807134504,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,4.358898943540674,2.0,3.7416573867739413
rt,4.123105625617661,7.0710678118654755,10.04987562112089,8.54400374531753,8.54400374531753,10.04987562112089,7.0710678118654755,4.123105625617661,10.198039027185569,11.0,3.0,11.180339887498949,3.0,6.708203932499369,0.0,5.196152422706632,7.3484692283495345,2.0,6.0,1.4142135623730951,0.0,7.280109889280518,10.198039027185569,3.0,4.242640687119285,5.385164807134504,3.1622776601683795,3.1622776601683795,17.578395831246947,3.1622776601683795,,7.54983443527075,6.4031242374328485,6.4031242374328485,4.47213595499958,5.0990195135927845,5.0990195135927845,5.0990195135927845,7.0710678118654755,4.242640687119285
slate,10.44030650891055,9.273618495495704,8.54400374531753,6.708203932499369,6.708203932499369,8.54400374531753,9.273618495495704,10.44030650891055,11.357816691600547,12.206555615733702,3.7416573867739413,10.04987562112089,10.04987562112089,5.656854249492381,7.0710678118654755,5.916079783099616,1.4142135623730951,10.44030650891055,5.656854249492381,3.0,6.0,3.0,3.0,7.280109889280518,1.4142135623730951,3.3166247903554,2.449489742783178,3.1622776601683795,16.278820596099706,3.1622776601683795,7.54983443527075,,7.810249675906654,6.164414002968976,10.295630140987,10.295630140987,10.04987562112089,9.539392014169456,9.539392014169456,4.358898943540674
spectator,10.246950765959598,10.04987562112089,6.708203932499369,10.04987562112089,10.04987562112089,6.708203932499369,10.04987562112089,10.246950765959598,10.04987562112089,7.280109889280518,8.306623862918075,11.0,7.0710678118654755,4.242640687119285,0.0,3.3166247903554,2.449489742783178,4.0,4.47213595499958,1.7320508075688772,4.0,2.449489742783178,7.280109889280518,4.242640687119285,1.4142135623730951,2.8284271247461903,4.123105625617661,4.242640687119285,16.278820596099706,5.385164807134504,6.4031242374328485,7.810249675906654,,10.0,6.164414002968976,4.58257569495584,8.774964387392123,8.774964387392123,9.055385138137417,8.246211251235321
townhall,7.0710678118654755,8.54400374531753,10.04987562112089,0.0,0.0,10.04987562112089,8.54400374531753,7.0710678118654755,10.04987562112089,4.242640687119285,7.0710678118654755,0.0,0.0,5.656854249492381,2.0,9.273618495495704,3.0,7.615773105863909,6.324555320336759,0.0,1.4142135623730951,2.449489742783178,3.0,8.06225774829855,3.1622776601683795,6.0,3.0,3.7416573867739413,16.278820596099706,3.605551275463989,6.4031242374328485,6.164414002968976,10.0,,5.830951894845301,7.483314773547883,1.4142135623730951,3.0,4.123105625617661,4.123105625617661
truthdig,9.273618495495704,6.708203932499369,0.0,10.04987562112089,10.04987562112089,0.0,6.708203932499369,9.273618495495704,4.123105625617661,10.198039027185569,16.55294535724685,11.357816691600547,7.0710678118654755,10.04987562112089,2.8284271247461903,1.7320508075688772,4.123105625617661,4.0,4.123105625617661,4.47213595499958,3.0,7.3484692283495345,4.58257569495584,3.0,7.280109889280518,7.483314773547883,1.4142135623730951,1.0,12.36931687685298,3.605551275463989,4.47213595499958,10.295630140987,6.164414002968976,5.830951894845301,,5.0,3.0,4.58257569495584,4.123105625617661,8.0
usatoday,10.04987562112089,10.04987562112089,10.04987562112089,3.0,3.0,10.04987562112089,10.04987562112089,10.04987562112089,10.44030650891055,10.198039027185569,7.0,11.40175425099138,10.246950765959598,2.0,8.54400374531753,6.4031242374328485,4.123105625617661,3.3166247903554,6.0,5.656854249492381,1.7320508075688772,5.477225575051661,3.0,8.06225774829855,4.242640687119285,3.4641016151377544,4.242640687119285,3.0,17.291616465790582,3.605551275463989,5.0990195135927845,10.295630140987,4.58257569495584,7.483314773547883,5.0,,17.578395831246947,4.898979485566356,2.8284271247461903,1.4142135623730951
vice,8.54400374531753,0.0,3.0,10.04987562112089,10.04987562112089,3.0,0.0,8.54400374531753,10.246950765959598,11.357816691600547,11.0,6.708203932499369,4.0,7.0710678118654755,4.47213595499958,1.7320508075688772,3.605551275463989,1.0,1.4142135623730951,2.0,0.0,1.4142135623730951,3.0,0.0,4.47213595499958,12.206555615733702,5.830951894845301,3.1622776601683795,16.0,3.605551275463989,5.0990195135927845,10.04987562112089,8.774964387392123,1.4142135623730951,3.0,17.578395831246947,,7.0710678118654755,16.55294535724685,7.0
vox,6.708203932499369,10.04987562112089,10.04987562112089,6.4031242374328485,6.4031242374328485,10.04987562112089,10.04987562112089,6.708203932499369,7.0710678118654755,10.04987562112089,12.206555615733702,3.0,9.055385138137417,2.0,5.830951894845301,4.47213595499958,7.0710678118654755,1.4142135623730951,6.0,10.04987562112089,4.47213595499958,4.58257569495584,6.708203932499369,4.58257569495584,4.242640687119285,2.8284271247461903,1.4142135623730951,3.1622776601683795,17.146428199482248,4.358898943540674,5.0990195135927845,9.539392014169456,8.774964387392123,3.0,4.58257569495584,4.898979485566356,7.0710678118654755,,6.0,4.123105625617661
wapo,10.04987562112089,3.0,6.4031242374328485,1.7320508075688772,1.7320508075688772,6.4031242374328485,3.0,10.04987562112089,9.273618495495704,10.04987562112089,7.280109889280518,3.7416573867739413,11.180339887498949,10.04987562112089,4.47213595499958,5.656854249492381,3.0,5.477225575051661,5.0990195135927845,0.0,5.656854249492381,2.23606797749979,1.0,3.0,7.0710678118654755,9.273618495495704,11.0,3.1622776601683795,16.278820596099706,2.0,7.0710678118654755,9.539392014169456,9.055385138137417,4.123105625617661,4.123105625617661,2.8284271247461903,16.55294535724685,6.0,,12.529964086141668
wsj,0.0,10.04987562112089,1.7320508075688772,4.242640687119285,4.242640687119285,1.7320508075688772,10.04987562112089,0.0,10.04987562112089,4.123105625617661,4.242640687119285,8.306623862918075,10.04987562112089,3.0,4.47213595499958,2.0,4.123105625617661,6.48074069840786,5.0,7.0710678118654755,2.0,2.449489742783178,4.123105625617661,3.0,7.0710678118654755,2.8284271247461903,1.4142135623730951,3.1622776601683795,12.041594578792296,3.7416573867739413,4.242640687119285,4.358898943540674,8.246211251235321,4.123105625617661,8.0,1.4142135623730951,7.0,4.123105625617661,12.529964086141668,
