,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
aljazeera,,11.0,19.0,8.602325267042627,26.40075756488817,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261
alternet,11.0,,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261,9.433981132056603,27.349588662354687,1.0
americanconservative,19.0,36.11094017053558,,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261,9.433981132056603,27.349588662354687,1.0,32.69556544854363,29.086079144497972
ap,8.602325267042627,11.0,15.524174696260024,,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261,9.433981132056603,27.349588662354687,1.0,32.69556544854363,29.086079144497972,31.76476034853718
atlantic,26.40075756488817,10.295630140987,40.45985664828782,14.696938456699069,,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261,9.433981132056603,27.349588662354687,1.0,32.69556544854363,29.086079144497972,31.76476034853718
bbc,36.11094017053558,15.524174696260024,14.696938456699069,24.08318915758459,24.08318915758459,,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261,9.433981132056603,27.349588662354687,1.0,32.69556544854363,29.086079144497972
breitbart,11.0,40.45985664828782,24.08318915758459,28.071337695236398,28.071337695236398,24.08318915758459,,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261,9.433981132056603,27.349588662354687,1.0
businessinsider,10.295630140987,14.696938456699069,28.071337695236398,26.076809620810597,26.076809620810597,28.071337695236398,14.696938456699069,,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934,4.123105625617661,7.615773105863909,26.0,11.045361017187261
buzzfeed,15.524174696260024,24.08318915758459,26.076809620810597,3.605551275463989,3.605551275463989,26.076809620810597,24.08318915758459,15.524174696260024,,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0,8.48528137423857,7.280109889280518,12.36931687685298,13.96424004376894,30.675723300355934
cbs,40.45985664828782,28.071337695236398,3.605551275463989,5.830951894845301,5.830951894845301,3.605551275463989,28.071337695236398,40.45985664828782,36.11094017053558,,11.0,19.0,8.602325267042627,26.40075756488817,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199,12.36931687685298,7.0,3.605551275463989,28.160255680657446,32.449961479175904,9.0
cnn,14.696938456699069,26.076809620810597,5.830951894845301,31.400636936215164,31.400636936215164,5.830951894845301,26.076809620810597,14.696938456699069,11.0,11.0,,18.681541692269406,8.48528137423857,25.0,9.219544457292887,26.19160170741759,11.0,19.0,8.602325267042627,26.40075756488817,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976,13.152946437965905,3.0,1.0,3.0,24.08318915758459,17.0,14.035668847618199
commondreams,24.08318915758459,3.605551275463989,31.400636936215164,2.23606797749979,2.23606797749979,31.400636936215164,3.605551275463989,24.08318915758459,10.295630140987,19.0,18.681541692269406,,24.041630560342615,4.47213595499958,5.385164807134504,23.790754506740637,7.280109889280518,27.313000567495326,18.681541692269406,8.48528137423857,25.0,9.219544457292887,26.19160170741759,11.0,19.0,8.602325267042627,26.40075756488817,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164,2.23606797749979,12.36931687685298,5.0,13.92838827718412,24.515301344262525,7.280109889280518,38.09199390948182,6.164414002968976
conversation,28.071337695236398,5.830951894845301,2.23606797749979,12.36931687685298,12.36931687685298,2.23606797749979,5.830951894845301,28.071337695236398,15.524174696260024,8.602325267042627,8.48528137423857,24.041630560342615,,29.765752132274432,3.605551275463989,25.317977802344327,7.0,7.0710678118654755,25.787593916455254,4.0,24.041630560342615,4.47213595499958,5.385164807134504,23.790754506740637,7.280109889280518,27.313000567495326,18.681541692269406,8.48528137423857,25.0,9.219544457292887,26.19160170741759,11.0,19.0,8.602325267042627,26.40075756488817,36.11094017053558,11.0,10.295630140987,15.524174696260024,40.45985664828782,14.696938456699069,24.08318915758459,28.071337695236398,26.076809620810597,3.605551275463989,5.830951894845301,31.400636936215164
counterpunch,26.076809620810597,31.400636936215164,12.36931687685298,5.0,5.0,12.36931687685298,31.400636936215164,26.076809620810597,40.45985664828782,26.40075756488817,25.0,4.47213595499958,29.765752132274432,,14.798648586948742,13.038404810405298,28.53068523537421,26.019223662515376,12.68857754044952,27.65863337187866,21.72556098240043,5.385164807134504,29.765752132274432,3.605551275463989,25.317977802344327,7.0,7.0710678118654755,25.787593916455254,4.0,24.041630560342615,4.47213595499958,5.385164807134504,23.790754506740637,7.280109889280518,27.313000567495326,18.681541692269406,8.48528137423857,25.0,9.219544457292887,26.19160170741759,11.0,19.0,8.602325267042627,26.40075756488817,36.11094017053558,11.0,10.295630140987
dailycaller,3.605551275463989,2.23606797749979,5.0,13.92838827718412,13.92838827718412,5.0,2.23606797749979,3.605551275463989,14.696938456699069,36.11094017053558,9.219544457292887,5.385164807134504,3.605551275463989,14.798648586948742,,6.164414002968976,17.0,11.661903789690601,17.60681686165901,12.083045973594572,10.246950765959598,13.96424004376894,13.45362404707371,5.0990195135927845,14.798648586948742,13.038404810405298,28.53068523537421,26.019223662515376,12.68857754044952,27.65863337187866,21.72556098240043,5.385164807134504,29.765752132274432,3.605551275463989,25.317977802344327,7.0,7.0710678118654755,25.787593916455254,4.0,24.041630560342615,4.47213595499958,5.385164807134504,23.790754506740637,7.280109889280518,27.313000567495326,18.681541692269406,8.48528137423857
dailykos,5.830951894845301,12.36931687685298,13.92838827718412,24.515301344262525,24.515301344262525,13.92838827718412,12.36931687685298,5.830951894845301,24.08318915758459,11.0,26.19160170741759,23.790754506740637,25.317977802344327,13.038404810405298,6.164414002968976,,13.74772708486752,9.38083151964686,23.08679276123039,6.782329983125268,8.12403840463596,19.6468827043885,10.198039027185569,8.54400374531753,19.0,11.180339887498949,6.164414002968976,17.0,11.661903789690601,17.60681686165901,12.083045973594572,10.246950765959598,13.96424004376894,13.45362404707371,5.0990195135927845,14.798648586948742,13.038404810405298,28.53068523537421,26.019223662515376,12.68857754044952,27.65863337187866,21.72556098240043,5.385164807134504,29.765752132274432,3.605551275463989,25.317977802344327,7.0
dailymail,31.400636936215164,5.0,24.515301344262525,7.280109889280518,7.280109889280518,24.515301344262525,5.0,31.400636936215164,28.071337695236398,10.295630140987,11.0,7.280109889280518,7.0,28.53068523537421,17.0,13.74772708486752,,27.349588662354687,7.874007874011811,10.04987562112089,26.0,8.54400374531753,8.602325267042627,12.884098726725126,26.832815729997478,8.366600265340756,10.04987562112089,22.825424421026653,13.74772708486752,9.38083151964686,23.08679276123039,6.782329983125268,8.12403840463596,19.6468827043885,10.198039027185569,8.54400374531753,19.0,11.180339887498949,6.164414002968976,17.0,11.661903789690601,17.60681686165901,12.083045973594572,10.246950765959598,13.96424004376894,13.45362404707371,5.0990195135927845
dailywire,2.23606797749979,13.92838827718412,7.280109889280518,38.09199390948182,38.09199390948182,7.280109889280518,13.92838827718412,2.23606797749979,26.076809620810597,15.524174696260024,19.0,27.313000567495326,7.0710678118654755,26.019223662515376,11.661903789690601,9.38083151964686,27.349588662354687,,8.54400374531753,30.215889859476256,8.774964387392123,12.569805089976535,29.0,9.38083151964686,8.06225774829855,9.0,14.798648586948742,28.442925306655784,6.4031242374328485,6.782329983125268,27.349588662354687,7.874007874011811,10.04987562112089,26.0,8.54400374531753,8.602325267042627,12.884098726725126,26.832815729997478,8.366600265340756,10.04987562112089,22.825424421026653,13.74772708486752,9.38083151964686,23.08679276123039,6.782329983125268,8.12403840463596,19.6468827043885
economist,12.36931687685298,24.515301344262525,38.09199390948182,6.164414002968976,6.164414002968976,38.09199390948182,24.515301344262525,12.36931687685298,3.605551275463989,40.45985664828782,8.602325267042627,18.681541692269406,25.787593916455254,12.68857754044952,17.60681686165901,23.08679276123039,7.874007874011811,8.54400374531753,,28.600699292150182,25.0,28.160255680657446,23.345235059857504,24.166091947189145,23.259406699226016,31.906112267087632,3.0,9.899494936611665,12.0,17.4928556845359,31.400636936215164,7.483314773547883,8.54400374531753,30.215889859476256,8.774964387392123,12.569805089976535,29.0,9.38083151964686,8.06225774829855,9.0,14.798648586948742,28.442925306655784,6.4031242374328485,6.782329983125268,27.349588662354687,7.874007874011811,10.04987562112089
eff,5.0,7.280109889280518,6.164414002968976,13.152946437965905,13.152946437965905,6.164414002968976,7.280109889280518,5.0,5.830951894845301,14.696938456699069,26.40075756488817,8.48528137423857,4.0,27.65863337187866,12.083045973594572,6.782329983125268,10.04987562112089,30.215889859476256,28.600699292150182,,15.937377450509228,26.645825188948457,24.71841418861655,10.816653826391969,27.03701166919155,20.149441679609886,15.0,27.23967694375247,30.298514815086232,28.30194339616981,31.874754901018456,23.62202362203543,22.58317958127243,19.79898987322333,28.600699292150182,25.0,28.160255680657446,23.345235059857504,24.166091947189145,23.259406699226016,31.906112267087632,3.0,9.899494936611665,12.0,17.4928556845359,31.400636936215164,7.483314773547883
federalist,13.92838827718412,38.09199390948182,13.152946437965905,3.0,3.0,13.152946437965905,38.09199390948182,13.92838827718412,31.400636936215164,24.08318915758459,36.11094017053558,25.0,24.041630560342615,21.72556098240043,10.246950765959598,8.12403840463596,26.0,8.774964387392123,25.0,15.937377450509228,,15.165750888103101,31.622776601683793,3.1622776601683795,6.4031242374328485,28.160255680657446,8.54400374531753,10.198039027185569,28.792360097775937,4.242640687119285,24.20743687382041,32.64965543462902,30.01666203960727,27.53179979587241,22.67156809750927,15.297058540778355,15.937377450509228,26.645825188948457,24.71841418861655,10.816653826391969,27.03701166919155,20.149441679609886,15.0,27.23967694375247,30.298514815086232,28.30194339616981,31.874754901018456
fox,24.515301344262525,6.164414002968976,3.0,1.0,1.0,3.0,6.164414002968976,24.515301344262525,2.23606797749979,28.071337695236398,11.0,9.219544457292887,4.47213595499958,5.385164807134504,13.96424004376894,19.6468827043885,8.54400374531753,12.569805089976535,28.160255680657446,26.645825188948457,15.165750888103101,,7.615773105863909,11.74734012447073,26.645825188948457,3.7416573867739413,3.3166247903554,24.919871588754223,5.916079783099616,6.782329983125268,24.186773244895647,6.782329983125268,29.563490998188964,31.240998703626616,6.782329983125268,7.0,9.38083151964686,12.884098726725126,15.165750888103101,31.622776601683793,3.1622776601683795,6.4031242374328485,28.160255680657446,8.54400374531753,10.198039027185569,28.792360097775937,4.242640687119285
guardian,7.280109889280518,13.152946437965905,1.0,3.0,3.0,1.0,13.152946437965905,7.280109889280518,12.36931687685298,26.076809620810597,10.295630140987,26.19160170741759,5.385164807134504,29.765752132274432,13.45362404707371,10.198039027185569,8.602325267042627,29.0,23.345235059857504,24.71841418861655,31.622776601683793,7.615773105863909,,8.602325267042627,0.0,8.12403840463596,19.6468827043885,10.198039027185569,8.54400374531753,19.0,11.180339887498949,6.164414002968976,17.0,11.661903789690601,5.830951894845301,26.832815729997478,26.570660511172846,5.830951894845301,3.605551275463989,7.874007874011811,7.615773105863909,11.74734012447073,26.645825188948457,3.7416573867739413,3.3166247903554,24.919871588754223,5.916079783099616
